year,minin,groceries,house,electricity,water,costtot,savtot,todminin,todcostot,todsav
2000,$400.40,$39.10,$236,$5.04,$1.08,$281.22,$119.18,$799.07,$561.22,$237.84
2001,$413.40,$40.78,$236,$5.95,$1.14,$283.87,$129.53,$790.26,$542.65,$247.61
2002,$431.40,$42.46,$246,$5.98,$1.17,$295.61,$135.79,$800.52,$548.55,$251.98
2003,$448.40,$44.14,$246,$6.13,$1.17,$297.44,$150.96,$809.73,$537.12,$272.61
2004,$467.40,$45.82,$254,$6.34,$1.32,$307.48,$159.92,$824.79,$542.59,$282.20
2005,$484.40,$47.50,$274,$6.52,$1.22,$329.24,$155.16,$832.58,$565.89,$266.69
2006,$511.86,$49.44,$274,$6.68,$1.53,$331.65,$180.21,$849.70,$550.55,$299.15
2007,$522.12,$51.38,$305,$7.21,$1.53,$365.12,$157.00,$846.82,$592.19,$254.64
2008,$543.78,$53.32,$305,$7.82,$1.66,$367.80,$175.98,$845.24,$571.70,$273.54
2009,$543.78,$55.26,$335,$9.61,$2.32,$402.19,$141.59,$830.35,$614.14,$216.21
2010,$569.90,$57.20,$335,$10.69,$2.93,$405.82,$164.08,$845.95,$602.39,$243.56
2011,$589.30,$59.08,$361,$12.69,$2.93,$435.70,$153.60,$846.18,$625.62,$220.55
2012,$606.40,$60.96,$361,$15.03,$3.56,$440.55,$165.85,$855.93,$621.84,$234.10
2013,$622.20,$62.84,$375,$15.34,$3.56,$456.74,$165.46,$857.37,$629.37,$228.00
2014,$640.90,$64.72,$375,$16.08,$3.59,$459.39,$181.51,$861.68,$617.64,$244.04
2015,$656.90,$66.60,$374,$16.08,$3.70,$460.38,$196.52,$870.11,$609.81,$260.31
2016,$672.70,$69.12,$374,$13.43,$3.70,$460.25,$212.45,$879.78,$601.93,$277.85
2017,$694.90,$71.64,$377,$17.57,$3.78,$469.99,$224.91,$891.45,$602.92,$288.52
2018,$719.20,$74.16,$480,$18.66,$3.78,$576.60,$142.60,$905.21,$725.73,$179.48
2019,$740.80,$76.68,$480,$17.00,$4.09,$577.77,$163.03,$917.79,$715.81,$201.98
2020,$753.80,$79.20,$470,$15.12,$4.09,$568.41,$185.39,$925.99,$698.25,$227.74
2021,$772.60,$83.35,$480,$15.36,$4.12,$582.83,$189.77,$922.68,$696.04,$226.63
2022,$812.60,$87.50,$495,$15.36,$4.12,$601.98,$210.62,$910.22,$674.30,$235.92
2023,$882.80,$89.55,$560,$17.92,$4.45,$671.92,$210.88,$936.61,$712.87,$223.73
2024,$915.90,$91.60,$625,$20.83,$4.45,$741.88,$174.02,$941.89,$762.93,$178.96
2025,$948.00,$93.05,$650,$20.10,$3.80,$766.95,$181.05,$948.00,$766.95,$181.05
2026,$948.00,$94.50,$680,$20.16,$3.80,$798.46,$149.54,$948.00,$798.46,$149.54
